age_group,estonian_male,estonian_female,other_male,other_female
0-4,139.7,127.7,197.3,196.7
5-9,97.3,99.3,147.7,161.7
10-14,59.0,53.0,104.7,99.3
15-19,40.7,52.3,172.0,198.3
20-24,103.0,104.0,1006.0,981.3
25-29,344.0,311.0,1175.3,834.7
30-34,310.7,318.3,1313.7,579.7
35-39,289.7,216.0,1024.7,375.7
40-44,410.3,172.7,681.7,246.3
45-49,413.3,173.7,580.3,210.0
50-54,367.0,177.3,422.7,179.7
55-59,303.0,183.7,365.7,197.7
60-64,213.7,192.3,233.0,192.7
65-69,47.0,74.3,114.3,83.0
70-74,8.0,19.3,51.0,37.0
75-79,4.7,8.3,20.3,34.3
80-84,3.3,7.3,15.0,41.7
85+,1.7,9.0,11.3,36.3
