age_group,male_share,female_share
0-4,0.04877548929193565,0.07255594817432275
5-9,0.028384055743416334,0.04829210836277975
10-14,0.015165488267240497,0.023321554770318026
15-19,0.024746387949585,0.04538672948566942
20-24,0.1483246234245312,0.22324303101688264
25-29,0.16425863305666566,0.17338044758539461
30-34,0.14776104109027566,0.10545740086376132
35-39,0.10938620760323803,0.06972909305064784
40-44,0.08274413362024798,0.04554377699254025
45-49,0.07029408750896608,0.03667059285433844
50-54,0.053284147965980126,0.03392226148409895
55-59,0.04606004713597705,0.03486454652532392
60-64,0.03115073265703453,0.03824106792304673
65-69,0.01537042729787888,0.015390655673341188
70-74,0.007429039860641459,0.008009422850412251
75-79,0.0029716159442565834,0.008009422850412251
80-84,0.0023055640946818322,0.009422850412249708
85+,0.0015882774874474844,0.008559089124460151
